city,latitude,longitude
Abaré,-8.72073,-39.1162
Abaíra,-13.2488,-41.6619
Acajutiba,-11.6575,-38.0197
Adustina,-10.5437,-38.1113
Aiquara,-14.1269,-39.8937
Alagoinhas,-12.1335,-38.4208
Alcobaça,-17.5195,-39.2036
Almadina,-14.7089,-39.6415
Amargosa,-13.0215,-39.602
Amélia Rodrigues,-12.3914,-38.7563
América Dourada,-11.4429,-41.43899999999999
Anagé,-14.6151,-41.1356
Andaraí,-12.8049,-41.3297
Andorinha,-10.3482,-39.8391
Angical,-12.0063,-44.7003
Anguera,-12.1462,-39.2462
Antas,-10.3856,-38.3401
Antônio Cardoso,-12.4335,-39.1176
Antônio Gonçalves,-10.5767,-40.2785
Aporá,-11.6577,-38.0814
Apuarema,-13.8542,-39.7501
Aracatu,-14.427999999999999,-41.4648
Araci,-11.3253,-38.9584
Aramari,-12.0884,-38.4969
Arataca,-15.2651,-39.419000000000004
Aratuípe,-13.0716,-39.0038
Araças,-12.22,-38.2027
Aurelino Leal,-14.321,-39.329
Bahia,,
Baianópolis,-12.3016,-44.5388
Baixa Grande,-11.9519,-40.169000000000004
Banzaê,-10.5788,-38.6212
Barra,-11.0859,-43.1459
Barra da Estiva,-13.6237,-41.3347
Barra do Choça,-14.8654,-40.5791
Barra do Mendes,-11.81,-42.059
Barra do Rocha,-14.2,-39.5991
Barreiras,-12.1439,-44.9968
Barro Alto,-11.7605,-41.9054
Barro Preto,-14.7948,-39.476
Barrocas,-11.5272,-39.0776
Belmonte,-15.8608,-38.8758
Belo Campo,-15.0334,-41.2652
Biritinga,-11.6072,-38.8051
Boa Nova,-14.3598,-40.2064
Boa Vista do Tupim,-12.6498,-40.6064
Bom Jesus da Lapa,-13.2506,-43.4108
Bom Jesus da Serra,-14.3663,-40.5126
Boninal,-12.7069,-41.8286
Bonito,-11.9668,-41.2647
Boquira,-12.8205,-42.7324
Botuporã,-13.3772,-42.5163
Brejões,-13.1039,-39.7988
Brotas de Macaúbas,-11.9915,-42.6326
Brumado,-14.2021,-41.6696
Buerarema,-14.9595,-39.3028
Buritirama,-10.7171,-43.6302
Caatiba,-14.9699,-40.4092
Cabaceiras do Paraguaçu,-12.5317,-39.1902
Cachoeira,-12.5994,-38.9587
Caculé,-14.5003,-42.2229
Caetanos,-14.3347,-40.9175
Caetité,-14.0684,-42.4861
Cafarnaum,-11.6914,-41.4688
Cairu,-13.4904,-39.0465
Caldeirão Grande,-11.0208,-40.2956
Camacan,-15.4142,-39.4919
Camamu,-13.9398,-39.1071
Camaçari,-12.6996,-38.3263
Campo Alegre de Lourdes,-9.522210000000001,-43.0126
Campo Formoso,-10.5105,-40.32
Canarana,-11.6858,-41.7677
Canavieiras,-15.6722,-38.9536
Candeal,-11.8049,-39.1203
Candeias,-12.6716,-38.5472
Candiba,-14.4097,-42.8667
Cansanção,-10.6647,-39.4944
Canudos,-9.900139999999999,-39.1471
Capela do Alto Alegre,-11.6658,-39.8349
Capim Grosso,-11.3797,-40.0089
Caravelas,-17.7268,-39.2597
Caraíbas,-14.7177,-41.2603
Cardeal da Silva,-11.9472,-37.9469
Carinhanha,-14.2985,-43.7724
Casa Nova,-9.16408,-40.974
Castro Alves,-12.7579,-39.4248
Catolândia,-12.31,-44.8648
Catu,-12.3513,-38.3791
Caturama,-13.3239,-42.2904
Caém,-11.0677,-40.431999999999995
Central,-11.1376,-42.1116
Chorrochó,-8.9695,-39.0979
Cipó,-11.1032,-38.5179
Coaraci,-14.637,-39.5556
Cocos,-14.1814,-44.5352
Conceição da Feira,-12.5078,-38.9978
Conceição do Almeida,-12.7836,-39.1715
Conceição do Coité,-11.56,-39.2808
Conceição do Jacuípe,-12.3268,-38.7684
Conde,-11.8179,-37.6131
