city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,order_for_place,place_type,state
Abaíra,2900108.0,2020-07-15,29,8739.0,True,False,5,57.21478,2020-07-15,0.0,0,0,0,94,city,BA
Abaré,2900207.0,2020-07-15,29,20086.0,True,False,7,34.85014,2020-07-15,0.0,0,1,0,62,city,BA
Acajutiba,2900306.0,2020-07-15,29,15159.0,True,False,42,277.06313,2020-07-15,0.0476,2,0,0,85,city,BA
Adustina,2900355.0,2020-07-15,29,17040.0,True,False,54,316.90141,2020-07-15,0.0185,1,2,0,103,city,BA
Água Fria,2900405.0,2020-07-15,29,16970.0,True,False,41,241.60283,2020-07-15,0.0244,1,0,0,86,city,BA
Aiquara,2900603.0,2020-07-15,29,4446.0,True,False,47,1057.13,2020-07-15,0.0213,1,0,0,91,city,BA
Alagoinhas,2900702.0,2020-07-15,29,151596.0,True,False,904,596.3218,2020-07-15,0.0188,17,34,0,112,city,BA
Alcobaça,2900801.0,2020-07-15,29,22470.0,True,False,144,640.85447,2020-07-15,0.0069,1,7,0,47,city,BA
Almadina,2900900.0,2020-07-15,29,5464.0,True,False,63,1153.00146,2020-07-15,0.0159,1,5,0,84,city,BA
Amargosa,2901007.0,2020-07-15,29,37241.0,True,False,98,263.15083,2020-07-15,0.0306,3,3,0,67,city,BA
Amélia Rodrigues,2901106.0,2020-07-15,29,25102.0,True,False,147,585.61071,2020-07-15,0.0068,1,8,0,91,city,BA
América Dourada,2901155.0,2020-07-15,29,16094.0,True,False,75,466.01218,2020-07-15,0.0,0,2,0,58,city,BA
Anagé,2901205.0,2020-07-15,29,22005.0,True,False,30,136.33265,2020-07-15,0.0333,1,1,0,63,city,BA
Andaraí,2901304.0,2020-07-15,29,13143.0,True,False,9,68.47752,2020-07-15,0.0,0,0,0,44,city,BA
Andorinha,2901353.0,2020-07-15,29,14595.0,True,False,25,171.29154,2020-07-15,0.04,1,1,0,33,city,BA
Angical,2901403.0,2020-07-15,29,13977.0,True,False,3,21.46383,2020-07-15,0.0,0,2,0,37,city,BA
Anguera,2901502.0,2020-07-15,29,11221.0,True,False,36,320.82702,2020-07-15,0.0,0,0,0,67,city,BA
Antas,2901601.0,2020-07-15,29,19291.0,True,False,25,129.59411,2020-07-15,0.0,0,0,0,46,city,BA
Antônio Cardoso,2901700.0,2020-07-15,29,11683.0,True,False,16,136.95113,2020-07-15,0.0,0,0,0,52,city,BA
Antônio Gonçalves,2901809.0,2020-07-15,29,11798.0,True,False,40,339.04052,2020-07-15,0.0,0,6,0,33,city,BA
Aporá,2901908.0,2020-07-15,29,17731.0,True,False,44,248.15295,2020-07-15,0.0455,2,0,0,56,city,BA
Apuarema,2901957.0,2020-07-15,29,7330.0,True,False,105,1432.4693,2020-07-15,0.0,0,1,0,56,city,BA
Araças,2902054.0,2020-07-15,29,12177.0,True,False,14,114.97085,2020-07-15,0.0,0,0,0,63,city,BA
Aracatu,2902005.0,2020-07-15,29,13135.0,True,False,19,144.65169,2020-07-15,0.0,0,1,0,79,city,BA
Araci,2902104.0,2020-07-15,29,54379.0,True,False,451,829.36428,2020-07-15,0.0067,3,16,0,99,city,BA
Aramari,2902203.0,2020-07-15,29,11397.0,True,False,16,140.38782,2020-07-15,0.0,0,0,0,44,city,BA
Arataca,2902252.0,2020-07-15,29,11019.0,True,False,10,90.75234,2020-07-15,0.0,0,0,0,78,city,BA
Aratuípe,2902302.0,2020-07-15,29,8825.0,True,False,8,90.65156,2020-07-15,0.125,1,2,0,49,city,BA
Aurelino Leal,2902401.0,2020-07-15,29,11531.0,True,False,196,1699.76585,2020-07-15,0.0051,1,9,0,99,city,BA
Baianópolis,2902500.0,2020-07-15,29,13877.0,True,False,3,21.61851,2020-07-15,0.0,0,0,0,51,city,BA
Baixa Grande,2902609.0,2020-07-15,29,20468.0,True,False,3,14.65703,2020-07-15,0.0,0,1,0,27,city,BA
Banzaê,2902658.0,2020-07-15,29,13229.0,True,False,34,257.01111,2020-07-15,0.0,0,0,0,62,city,BA
Barra,2902708.0,2020-07-15,29,53578.0,True,False,38,70.92463,2020-07-15,0.0,0,1,0,107,city,BA
Barra da Estiva,2902807.0,2020-07-15,29,20598.0,True,False,4,19.41936,2020-07-15,0.0,0,0,0,39,city,BA
Barra do Choça,2902906.0,2020-07-15,29,31603.0,True,False,180,569.56618,2020-07-15,0.0111,2,3,0,101,city,BA
Barra do Mendes,2903003.0,2020-07-15,29,13865.0,True,False,3,21.63722,2020-07-15,0.0,0,0,0,55,city,BA
Barra do Rocha,2903102.0,2020-07-15,29,5714.0,True,False,12,210.0105,2020-07-15,0.0,0,0,0,106,city,BA
Barreiras,2903201.0,2020-07-15,29,155439.0,True,False,701,450.98077,2020-07-15,0.0114,8,32,0,116,city,BA
Barro Alto,2903235.0,2020-07-15,29,14931.0,True,False,5,33.48738,2020-07-15,0.0,0,0,0,13,city,BA
Barrocas,2903276.0,2020-07-15,29,15978.0,True,False,44,275.37865,2020-07-15,0.0,0,0,0,67,city,BA
Barro Preto,2903300.0,2020-07-15,29,5591.0,True,False,92,1645.5017,2020-07-15,0.0326,3,5,0,88,city,BA
Belmonte,2903409.0,2020-07-15,29,23328.0,True,False,151,647.29081,2020-07-15,0.0066,1,9,0,105,city,BA
Belo Campo,2903508.0,2020-07-15,29,17211.0,True,False,1,5.81024,2020-07-15,0.0,0,1,0,32,city,BA
Biritinga,2903607.0,2020-07-15,29,15979.0,True,False,10,62.58214,2020-07-15,0.0,0,1,0,53,city,BA
Boa Nova,2903706.0,2020-07-15,29,12633.0,True,False,3,23.74733,2020-07-15,0.0,0,0,0,41,city,BA
Boa Vista do Tupim,2903805.0,2020-07-15,29,18576.0,True,False,9,48.44961,2020-07-15,0.0,0,0,0,70,city,BA
Bom Jesus da Lapa,2903904.0,2020-07-15,29,69148.0,True,False,79,114.2477,2020-07-15,0.0,0,1,0,93,city,BA
Bom Jesus da Serra,2903953.0,2020-07-15,29,9880.0,True,False,48,485.82996,2020-07-15,0.0,0,10,0,52,city,BA
Boninal,2904001.0,2020-07-15,29,14368.0,True,False,5,34.79955,2020-07-15,0.0,0,-1,0,41,city,BA
Bonito,2904050.0,2020-07-15,29,16764.0,True,False,0,,2020-07-15,0.0,0,0,0,42,city,BA
Boquira,2904100.0,2020-07-15,29,21508.0,True,False,15,69.74149,2020-07-15,0.0,0,0,0,64,city,BA
Botuporã,2904209.0,2020-07-15,29,10211.0,True,False,2,19.58672,2020-07-15,0.0,0,0,0,37,city,BA
Brejões,2904308.0,2020-07-15,29,14295.0,True,False,11,76.94998,2020-07-15,0.0,0,0,0,36,city,BA
Brotas de Macaúbas,2904506.0,2020-07-15,29,10231.0,True,False,0,,2020-07-15,0.0,0,0,0,41,city,BA
Brumado,2904605.0,2020-07-15,29,67195.0,True,False,281,418.18588,2020-07-15,0.0107,3,8,0,115,city,BA
Buerarema,2904704.0,2020-07-15,29,18349.0,True,False,162,882.8819,2020-07-15,0.0556,9,3,0,91,city,BA
Buritirama,2904753.0,2020-07-15,29,21174.0,True,False,52,245.58421,2020-07-15,0.0,0,5,0,48,city,BA
Caatiba,2904803.0,2020-07-15,29,6758.0,True,False,75,1109.7958,2020-07-15,0.0,0,1,0,34,city,BA
Cabaceiras do Paraguaçu,2904852.0,2020-07-15,29,18807.0,True,False,24,127.61206,2020-07-15,0.0417,1,0,0,62,city,BA
Cachoeira,2904902.0,2020-07-15,29,33470.0,True,False,166,495.96654,2020-07-15,0.0241,4,17,2,103,city,BA
Caculé,2905008.0,2020-07-15,29,23170.0,True,False,5,21.57963,2020-07-15,0.2,1,0,0,48,city,BA
Caém,2905107.0,2020-07-15,29,9213.0,True,False,34,369.04374,2020-07-15,0.0,0,1,0,59,city,BA
Caetanos,2905156.0,2020-07-15,29,14542.0,True,False,7,48.13643,2020-07-15,0.0,0,0,0,81,city,BA
Caetité,2905206.0,2020-07-15,29,50975.0,True,False,51,100.04904,2020-07-15,0.0196,1,2,0,58,city,BA
Cafarnaum,2905305.0,2020-07-15,29,18437.0,True,False,5,27.11938,2020-07-15,0.0,0,0,0,19,city,BA
Cairu,2905404.0,2020-07-15,29,18176.0,True,False,75,412.63204,2020-07-15,0.04,3,3,0,65,city,BA
Caldeirão Grande,2905503.0,2020-07-15,29,13327.0,True,False,56,420.19959,2020-07-15,0.0179,1,0,0,82,city,BA
Camacan,2905602.0,2020-07-15,29,31988.0,True,False,527,1647.49281,2020-07-15,0.0209,11,65,0,97,city,BA
Camaçari,2905701.0,2020-07-15,29,299132.0,True,False,2612,873.19311,2020-07-15,0.0176,46,101,4,118,city,BA
Camamu,2905800.0,2020-07-15,29,35316.0,True,False,389,1101.48375,2020-07-15,0.0129,5,6,0,81,city,BA
Campo Alegre de Lourdes,2905909.0,2020-07-15,29,28798.0,True,False,49,170.1507,2020-07-15,0.0408,2,2,0,84,city,BA
