city,city_ibge_code,date,is_last,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,place_type,latitude,longitude
Abaíra,2900108.0,2020-07-14,True,5,57.21478,2020-07-14,0.0,0,0,0,city,-13.2488,-41.6619
Abaré,2900207.0,2020-07-14,True,6,29.87155,2020-07-14,0.0,0,1,0,city,-8.72073,-39.1162
Acajutiba,2900306.0,2020-07-14,True,42,277.06313,2020-07-14,0.0476,2,1,0,city,-11.6575,-38.0197
Adustina,2900355.0,2020-07-14,True,52,305.16432,2020-07-14,0.0192,1,5,0,city,-10.5437,-38.1113
Água Fria,2900405.0,2020-07-14,True,41,241.60283,2020-07-14,0.0244,1,2,0,city,-11.8618,-38.7639
Aiquara,2900603.0,2020-07-14,True,47,1057.13,2020-07-14,0.0213,1,0,0,city,-14.1269,-39.8937
Alagoinhas,2900702.0,2020-07-14,True,870,573.89377,2020-07-14,0.0195,17,15,2,city,-12.1335,-38.4208
Alcobaça,2900801.0,2020-07-14,True,137,609.70182,2020-07-14,0.0073,1,1,0,city,-17.5195,-39.2036
Almadina,2900900.0,2020-07-14,True,58,1061.49341,2020-07-14,0.0172,1,2,0,city,-14.7089,-39.6415
Amargosa,2901007.0,2020-07-14,True,95,255.09519,2020-07-14,0.0316,3,7,0,city,-13.0215,-39.602
Amélia Rodrigues,2901106.0,2020-07-14,True,139,553.74074,2020-07-14,0.0072,1,2,0,city,-12.3914,-38.7563
América Dourada,2901155.0,2020-07-14,True,73,453.58519,2020-07-14,0.0,0,0,0,city,-11.4429,-41.43899999999999
Anagé,2901205.0,2020-07-14,True,29,131.78823,2020-07-14,0.0345,1,0,0,city,-14.6151,-41.1356
Andaraí,2901304.0,2020-07-14,True,9,68.47752,2020-07-14,0.0,0,1,0,city,-12.8049,-41.3297
Andorinha,2901353.0,2020-07-14,True,24,164.43988,2020-07-14,0.0417,1,0,0,city,-10.3482,-39.8391
Angical,2901403.0,2020-07-14,True,1,7.15461,2020-07-14,0.0,0,0,0,city,-12.0063,-44.7003
Anguera,2901502.0,2020-07-14,True,36,320.82702,2020-07-14,0.0,0,3,0,city,-12.1462,-39.2462
Antas,2901601.0,2020-07-14,True,25,129.59411,2020-07-14,0.0,0,0,0,city,-10.3856,-38.3401
Antônio Cardoso,2901700.0,2020-07-14,True,16,136.95113,2020-07-14,0.0,0,0,0,city,-12.4335,-39.1176
Antônio Gonçalves,2901809.0,2020-07-14,True,34,288.18444,2020-07-14,0.0,0,1,0,city,-10.5767,-40.2785
Aporá,2901908.0,2020-07-14,True,44,248.15295,2020-07-14,0.0455,2,1,0,city,-11.6577,-38.0814
Apuarema,2901957.0,2020-07-14,True,104,1418.82674,2020-07-14,0.0,0,0,0,city,-13.8542,-39.7501
Araças,2902054.0,2020-07-14,True,14,114.97085,2020-07-14,0.0,0,0,0,city,-12.22,-38.2027
Aracatu,2902005.0,2020-07-14,True,18,137.03845,2020-07-14,0.0,0,1,0,city,-14.427999999999999,-41.4648
Araci,2902104.0,2020-07-14,True,435,799.94115,2020-07-14,0.0069,3,11,0,city,-11.3253,-38.9584
Aramari,2902203.0,2020-07-14,True,16,140.38782,2020-07-14,0.0,0,1,0,city,-12.0884,-38.4969
Arataca,2902252.0,2020-07-14,True,10,90.75234,2020-07-14,0.0,0,0,0,city,-15.2651,-39.419000000000004
Aratuípe,2902302.0,2020-07-14,True,6,67.98867,2020-07-14,0.1667,1,0,0,city,-13.0716,-39.0038
Aurelino Leal,2902401.0,2020-07-14,True,187,1621.71538,2020-07-14,0.0053,1,13,0,city,-14.321,-39.329
Baianópolis,2902500.0,2020-07-14,True,3,21.61851,2020-07-14,0.0,0,0,0,city,-12.3016,-44.5388
Baixa Grande,2902609.0,2020-07-14,True,2,9.77135,2020-07-14,0.0,0,0,0,city,-11.9519,-40.169000000000004
Banzaê,2902658.0,2020-07-14,True,34,257.01111,2020-07-14,0.0,0,0,0,city,-10.5788,-38.6212
Barra,2902708.0,2020-07-14,True,37,69.0582,2020-07-14,0.0,0,1,0,city,-11.0859,-43.1459
Barra da Estiva,2902807.0,2020-07-14,True,4,19.41936,2020-07-14,0.0,0,0,0,city,-13.6237,-41.3347
Barra do Choça,2902906.0,2020-07-14,True,177,560.07341,2020-07-14,0.0113,2,26,0,city,-14.8654,-40.5791
Barra do Mendes,2903003.0,2020-07-14,True,3,21.63722,2020-07-14,0.0,0,0,0,city,-11.81,-42.059
Barra do Rocha,2903102.0,2020-07-14,True,12,210.0105,2020-07-14,0.0,0,0,0,city,-14.2,-39.5991
Barreiras,2903201.0,2020-07-14,True,669,430.39392,2020-07-14,0.012,8,40,1,city,-12.1439,-44.9968
Barro Alto,2903235.0,2020-07-14,True,5,33.48738,2020-07-14,0.0,0,0,0,city,-11.7605,-41.9054
Barrocas,2903276.0,2020-07-14,True,44,275.37865,2020-07-14,0.0,0,0,0,city,-11.5272,-39.0776
Barro Preto,2903300.0,2020-07-14,True,87,1556.07226,2020-07-14,0.0345,3,2,0,city,-14.7948,-39.476
Belmonte,2903409.0,2020-07-14,True,142,608.71056,2020-07-14,0.007,1,4,0,city,-15.8608,-38.8758
Belo Campo,2903508.0,2020-07-14,True,0,,2020-07-14,0.0,0,0,0,city,-15.0334,-41.2652
Biritinga,2903607.0,2020-07-14,True,9,56.32393,2020-07-14,0.0,0,1,0,city,-11.6072,-38.8051
Boa Nova,2903706.0,2020-07-14,True,3,23.74733,2020-07-14,0.0,0,0,0,city,-14.3598,-40.2064
Boa Vista do Tupim,2903805.0,2020-07-14,True,9,48.44961,2020-07-14,0.0,0,0,0,city,-12.6498,-40.6064
Bom Jesus da Lapa,2903904.0,2020-07-14,True,78,112.80153,2020-07-14,0.0,0,1,0,city,-13.2506,-43.4108
Bom Jesus da Serra,2903953.0,2020-07-14,True,38,384.61538,2020-07-14,0.0,0,0,0,city,-14.3663,-40.5126
Boninal,2904001.0,2020-07-14,True,6,41.75947,2020-07-14,0.0,0,1,0,city,-12.7069,-41.8286
Bonito,2904050.0,2020-07-14,True,0,,2020-07-14,0.0,0,0,0,city,-11.9668,-41.2647
Boquira,2904100.0,2020-07-14,True,15,69.74149,2020-07-14,0.0,0,0,0,city,-12.8205,-42.7324
Botuporã,2904209.0,2020-07-14,True,2,19.58672,2020-07-14,0.0,0,0,0,city,-13.3772,-42.5163
Brejões,2904308.0,2020-07-14,True,11,76.94998,2020-07-14,0.0,0,0,0,city,-13.1039,-39.7988
Brotas de Macaúbas,2904506.0,2020-07-14,True,0,,2020-07-14,0.0,0,0,0,city,-11.9915,-42.6326
Brumado,2904605.0,2020-07-14,True,273,406.28023,2020-07-14,0.011,3,6,0,city,-14.2021,-41.6696
Buerarema,2904704.0,2020-07-14,True,159,866.53224,2020-07-14,0.0566,9,7,0,city,-14.9595,-39.3028
Buritirama,2904753.0,2020-07-14,True,47,221.97034,2020-07-14,0.0,0,1,0,city,-10.7171,-43.6302
Caatiba,2904803.0,2020-07-14,True,74,1094.99852,2020-07-14,0.0,0,1,0,city,-14.9699,-40.4092
Cabaceiras do Paraguaçu,2904852.0,2020-07-14,True,24,127.61206,2020-07-14,0.0417,1,0,0,city,-12.5317,-39.1902
Cachoeira,2904902.0,2020-07-14,True,149,445.17478,2020-07-14,0.0134,2,1,1,city,-12.5994,-38.9587
Caculé,2905008.0,2020-07-14,True,5,21.57963,2020-07-14,0.2,1,0,0,city,-14.5003,-42.2229
Caém,2905107.0,2020-07-14,True,33,358.18951,2020-07-14,0.0,0,0,0,city,-11.0677,-40.431999999999995
Caetanos,2905156.0,2020-07-14,True,7,48.13643,2020-07-14,0.0,0,0,0,city,-14.3347,-40.9175
Caetité,2905206.0,2020-07-14,True,49,96.12555,2020-07-14,0.0204,1,0,0,city,-14.0684,-42.4861
Cafarnaum,2905305.0,2020-07-14,True,5,27.11938,2020-07-14,0.0,0,0,0,city,-11.6914,-41.4688
Cairu,2905404.0,2020-07-14,True,72,396.12676,2020-07-14,0.0417,3,3,0,city,-13.4904,-39.0465
Caldeirão Grande,2905503.0,2020-07-14,True,56,420.19959,2020-07-14,0.0179,1,0,0,city,-11.0208,-40.2956
Camacan,2905602.0,2020-07-14,True,462,1444.29161,2020-07-14,0.0238,11,14,0,city,-15.4142,-39.4919
Camaçari,2905701.0,2020-07-14,True,2511,839.42875,2020-07-14,0.0167,42,42,4,city,-12.6996,-38.3263
Camamu,2905800.0,2020-07-14,True,383,1084.49428,2020-07-14,0.0131,5,0,0,city,-13.9398,-39.1071
Campo Alegre de Lourdes,2905909.0,2020-07-14,True,47,163.20578,2020-07-14,0.0426,2,2,0,city,-9.522210000000001,-43.0126
