2020-07-16 19:31:13,825 - (main):		Starting iteration
2020-07-16 19:31:13,825 - (request_from_api):		Starting
2020-07-16 19:31:13,825 - (request_from_api):		Requesting page 1
2020-07-16 19:31:14,700 - (request_from_api):		<Response [200]>
2020-07-16 19:31:14,711 - (request_from_api):		Requesting page 2
2020-07-16 19:31:15,410 - (request_from_api):		<Response [200]>
2020-07-16 19:31:15,423 - (request_from_api):		Requesting page 3
2020-07-16 19:31:16,128 - (request_from_api):		<Response [200]>
2020-07-16 19:31:16,141 - (request_from_api):		Requesting page 4
2020-07-16 19:31:17,150 - (request_from_api):		<Response [200]>
2020-07-16 19:31:17,164 - (request_from_api):		Requesting page 5
2020-07-16 19:31:17,781 - (request_from_api):		<Response [200]>
2020-07-16 19:31:17,796 - (request_from_api):		Requesting page 6
2020-07-16 19:31:18,687 - (request_from_api):		<Response [200]>
2020-07-16 19:31:18,700 - (request_from_api):		Requesting page 7
2020-07-16 19:31:19,301 - (request_from_api):		<Response [200]>
2020-07-16 19:31:19,315 - (request_from_api):		Requesting page 8
2020-07-16 19:31:19,877 - (request_from_api):		<Response [200]>
2020-07-16 19:31:19,912 - (request_from_api):		Requesting page 9
2020-07-16 19:31:20,709 - (request_from_api):		<Response [200]>
2020-07-16 19:31:20,724 - (request_from_api):		Requesting page 10
2020-07-16 19:31:21,349 - (request_from_api):		<Response [200]>
2020-07-16 19:31:21,364 - (request_from_api):		Requesting page 11
2020-07-16 19:31:22,475 - (request_from_api):		<Response [200]>
2020-07-16 19:31:22,490 - (request_from_api):		Requesting page 12
2020-07-16 19:31:23,499 - (request_from_api):		<Response [200]>
2020-07-16 19:31:23,515 - (request_from_api):		Requesting page 13
2020-07-16 19:31:24,064 - (request_from_api):		<Response [200]>
2020-07-16 19:31:24,110 - (request_from_api):		Requesting page 14
2020-07-16 19:31:24,683 - (request_from_api):		<Response [200]>
2020-07-16 19:31:24,699 - (request_from_api):		Requesting page 15
2020-07-16 19:31:25,650 - (request_from_api):		<Response [200]>
2020-07-16 19:31:25,667 - (request_from_api):		Requesting page 16
2020-07-16 19:31:25,954 - (request_from_api):		<Response [429]>
2020-07-16 19:31:25,955 - (request_from_api):		Requesting page 16
2020-07-16 19:31:26,684 - (request_from_api):		<Response [200]>
