city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths,lat,lon
Abaré,2900207.0,2020-07-01,27,20086.0,True,False,2,9.957180000000001,2020-07-01,0.0,0,48,city,BA,0,0,-8.72073,-39.1162
Abaíra,2900108.0,2020-07-01,27,8739.0,True,False,5,57.214780000000005,2020-07-01,0.0,0,80,city,BA,-2,0,-13.2488,-41.6619
Acajutiba,2900306.0,2020-07-01,27,15159.0,True,False,23,151.72505,2020-07-01,0.0435,1,71,city,BA,0,0,-11.6575,-38.0197
Adustina,2900355.0,2020-07-01,27,17040.0,True,False,27,158.4507,2020-07-01,0.037000000000000005,1,89,city,BA,2,0,-10.5437,-38.1113
Aiquara,2900603.0,2020-07-01,27,4446.0,True,False,10,224.92127999999997,2020-07-01,0.1,1,77,city,BA,0,0,-14.1269,-39.8937
Alagoinhas,2900702.0,2020-07-01,27,151596.0,True,False,477,314.6521,2020-07-01,0.0189,9,98,city,BA,31,1,-12.1335,-38.4208
Alcobaça,2900801.0,2020-07-01,27,22470.0,True,False,62,275.92345,2020-07-01,0.0161,1,33,city,BA,6,0,-17.5195,-39.2036
Almadina,2900900.0,2020-07-01,27,5464.0,True,False,19,347.7306,2020-07-01,0.0526,1,70,city,BA,2,0,-14.7089,-39.6415
Amargosa,2901007.0,2020-07-01,27,37241.0,True,False,43,115.46413999999999,2020-07-01,0.0233,1,53,city,BA,10,0,-13.0215,-39.602
Amélia Rodrigues,2901106.0,2020-07-01,27,25102.0,True,False,92,366.50466,2020-07-01,0.0,0,77,city,BA,7,0,-12.3914,-38.7563
América Dourada,2901155.0,2020-07-01,27,16094.0,True,False,20,124.26991000000001,2020-07-01,0.0,0,44,city,BA,4,0,-11.4429,-41.43899999999999
Anagé,2901205.0,2020-07-01,27,22005.0,True,False,10,45.44422,2020-07-01,0.1,1,49,city,BA,0,0,-14.6151,-41.1356
Andaraí,2901304.0,2020-07-01,27,13143.0,True,False,8,60.8689,2020-07-01,0.0,0,30,city,BA,0,0,-12.8049,-41.3297
Andorinha,2901353.0,2020-07-01,27,14595.0,True,False,5,34.258309999999994,2020-07-01,0.0,0,19,city,BA,0,0,-10.3482,-39.8391
Angical,2901403.0,2020-07-01,27,13977.0,True,False,1,7.154610000000001,2020-07-01,0.0,0,23,city,BA,0,0,-12.0063,-44.7003
Anguera,2901502.0,2020-07-01,27,11221.0,True,False,28,249.53213,2020-07-01,0.0,0,53,city,BA,0,0,-12.1462,-39.2462
Antas,2901601.0,2020-07-01,27,19291.0,True,False,5,25.91882,2020-07-01,0.0,0,32,city,BA,0,0,-10.3856,-38.3401
Antônio Cardoso,2901700.0,2020-07-01,27,11683.0,True,False,11,94.1539,2020-07-01,0.0,0,38,city,BA,0,0,-12.4335,-39.1176
Antônio Gonçalves,2901809.0,2020-07-01,27,11798.0,True,False,14,118.66418,2020-07-01,0.0,0,19,city,BA,2,0,-10.5767,-40.2785
Aporá,2901908.0,2020-07-01,27,17731.0,True,False,37,208.67407,2020-07-01,0.0541,2,42,city,BA,0,1,-11.6577,-38.0814
