city,city_ibge_code,date,is_last,last_available_confirmed,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths,lat,lon
Abaré,2900207.0,2020-07-01,True,2,0.0,0,0,0,-8.72073,-39.1162
Abaíra,2900108.0,2020-07-01,True,5,0.0,0,-2,0,-13.2488,-41.6619
Acajutiba,2900306.0,2020-07-01,True,23,0.0435,1,0,0,-11.6575,-38.0197
Adustina,2900355.0,2020-07-01,True,27,0.037000000000000005,1,2,0,-10.5437,-38.1113
Aiquara,2900603.0,2020-07-01,True,10,0.1,1,0,0,-14.1269,-39.8937
Alagoinhas,2900702.0,2020-07-01,True,477,0.0189,9,31,1,-12.1335,-38.4208
Alcobaça,2900801.0,2020-07-01,True,62,0.0161,1,6,0,-17.5195,-39.2036
Almadina,2900900.0,2020-07-01,True,19,0.0526,1,2,0,-14.7089,-39.6415
Amargosa,2901007.0,2020-07-01,True,43,0.0233,1,10,0,-13.0215,-39.602
Amélia Rodrigues,2901106.0,2020-07-01,True,92,0.0,0,7,0,-12.3914,-38.7563
América Dourada,2901155.0,2020-07-01,True,20,0.0,0,4,0,-11.4429,-41.43899999999999
Anagé,2901205.0,2020-07-01,True,10,0.1,1,0,0,-14.6151,-41.1356
Andaraí,2901304.0,2020-07-01,True,8,0.0,0,0,0,-12.8049,-41.3297
Andorinha,2901353.0,2020-07-01,True,5,0.0,0,0,0,-10.3482,-39.8391
Angical,2901403.0,2020-07-01,True,1,0.0,0,0,0,-12.0063,-44.7003
Anguera,2901502.0,2020-07-01,True,28,0.0,0,0,0,-12.1462,-39.2462
Antas,2901601.0,2020-07-01,True,5,0.0,0,0,0,-10.3856,-38.3401
Antônio Cardoso,2901700.0,2020-07-01,True,11,0.0,0,0,0,-12.4335,-39.1176
Antônio Gonçalves,2901809.0,2020-07-01,True,14,0.0,0,2,0,-10.5767,-40.2785
Aporá,2901908.0,2020-07-01,True,37,0.0541,2,0,1,-11.6577,-38.0814
Apuarema,2901957.0,2020-07-01,True,63,0.0,0,26,0,-13.8542,-39.7501
Aracatu,2902005.0,2020-07-01,True,15,0.0,0,0,0,-14.427999999999999,-41.4648
Araci,2902104.0,2020-07-01,True,224,0.0045,1,14,0,-11.3253,-38.9584
Aramari,2902203.0,2020-07-01,True,7,0.0,0,1,0,-12.0884,-38.4969
Arataca,2902252.0,2020-07-01,True,2,0.0,0,0,0,-15.2651,-39.419000000000004
Aratuípe,2902302.0,2020-07-01,True,1,1.0,1,0,0,-13.0716,-39.0038
Araças,2902054.0,2020-07-01,True,6,0.0,0,1,0,-12.22,-38.2027
Aurelino Leal,2902401.0,2020-07-01,True,91,0.011000000000000001,1,2,0,-14.321,-39.329
Bahia,29.0,2020-07-02,True,79349,0.0245,1947,2864,45,,
Baianópolis,2902500.0,2020-07-01,True,3,0.0,0,0,0,-12.3016,-44.5388
Baixa Grande,2902609.0,2020-07-01,True,2,0.0,0,0,0,-11.9519,-40.169000000000004
Banzaê,2902658.0,2020-07-01,True,23,0.0,0,4,0,-10.5788,-38.6212
Barra,2902708.0,2020-07-01,True,24,0.0,0,2,0,-11.0859,-43.1459
Barra da Estiva,2902807.0,2020-07-01,True,2,0.0,0,0,0,-13.6237,-41.3347
Barra do Choça,2902906.0,2020-07-01,True,34,0.0294,1,2,0,-14.8654,-40.5791
Barra do Mendes,2903003.0,2020-07-01,True,2,0.0,0,0,0,-11.81,-42.059
Barra do Rocha,2903102.0,2020-07-01,True,6,0.0,0,0,0,-14.2,-39.5991
Barreiras,2903201.0,2020-07-01,True,362,0.0138,5,14,0,-12.1439,-44.9968
Barro Preto,2903300.0,2020-07-01,True,32,0.0,0,5,0,-14.7948,-39.476
Barrocas,2903276.0,2020-07-01,True,36,0.0,0,0,0,-11.5272,-39.0776
Belmonte,2903409.0,2020-07-01,True,85,0.0118,1,1,0,-15.8608,-38.8758
Belo Campo,2903508.0,2020-07-01,True,0,0.0,0,0,0,-15.0334,-41.2652
Biritinga,2903607.0,2020-07-01,True,1,0.0,0,0,0,-11.6072,-38.8051
